[124, 124.754, 1, [52.6034514, 39.5982136], [52.6045713, 39.5981061]],
[125, 105.84700000000001, 1, [52.6034514, 39.5982136], [52.603492, 39.5997795]],
[126, 174.45600000000002, 1, [52.6032096, 39.5912838], [52.601642, 39.5913895]],
[127, 147.267, 1, [52.6032096, 39.5912838], [52.6033042, 39.5934589]],
[128, 622.8389999999999, 1, [52.606868, 39.584369], [52.6065166, 39.5751636]],
[129, 239.046, 1, [52.606868, 39.584369], [52.6069597, 39.5879058]],
[130, 145.138, 1, [52.606868, 39.584369], [52.608171, 39.5842427]],
[131, 149.81900000000002, 1, [52.606868, 39.584369], [52.605522, 39.584468]],
[132, 338.805, 1, [52.5968626, 39.5911539], [52.599704, 39.592964]],
[133, 207.76600000000002, 1, [52.5968626, 39.5911539], [52.5976838, 39.5883908]],
[134, 158.308, 1, [52.5968626, 39.5911539], [52.5955354, 39.5903078]],
[135, 100.154, 1, [52.5968626, 39.5911539], [52.5964634, 39.5924831]],
[136, 174.11200000000002, 1, [52.6034976, 39.6030568], [52.6021575, 39.6043896]],
[137, 32.612, 1, [52.6034976, 39.6030568], [52.6037521, 39.6028168]],
[138, 7.051, 1, [52.6040675, 39.5800119], [52.6040044, 39.5800222]],
[139, 312.086, 1, [52.6040675, 39.5800119], [52.6039339, 39.575396]],
[140, 206.684, 1, [52.602947, 39.58472], [52.6030783, 39.5877728]],
[141, 134.75900000000001, 1, [52.602947, 39.58472], [52.6041568, 39.5846028]],
[142, 162.67700000000002, 1, [52.602947, 39.58472], [52.6014869, 39.5848701]],
[143, 115.655, 1, [52.5989104, 39.5844067], [52.5998745, 39.5850153]],
[144, 230.07, 1, [52.5989104, 39.5844067], [52.5998948, 39.581411]],
[145, 135.28799999999998, 1, [52.5989104, 39.5844067], [52.5983368, 39.5861732]],
[146, 239.04600000000002, 1, [52.6069597, 39.5879058], [52.606868, 39.584369]],
[147, 174.209, 1, [52.6069597, 39.5879058], [52.6082348, 39.5864068]],
[148, 188.853, 1, [52.6069597, 39.5879058], [52.605663, 39.589279]],
[149, 321.524, 1, [52.6033042, 39.5934589], [52.6034514, 39.5982136]],
[150, 120.662, 1, [52.6033042, 39.5934589], [52.6043883, 39.5933829]],
[151, 167.881, 1, [52.6033042, 39.5934589], [52.6017979, 39.5936236]],
[152, 341.457, 1, [52.6094444, 39.5869675], [52.608171, 39.5842427]],
[153, 143.51, 1, [52.6094444, 39.5869675], [52.6082348, 39.5864068]],
[154, 203.685, 1, [52.6094444, 39.5869675], [52.6099444, 39.5898382]],
[155, 169.081, 1, [52.601642, 39.5913895], [52.6001343, 39.5914761]],
[156, 174.456, 1, [52.601642, 39.5913895], [52.6032096, 39.5912838]],
[157, 152.643, 1, [52.601642, 39.5913895], [52.6017979, 39.5936236]],
[158, 167.386, 1, [52.601989, 39.599918], [52.603492, 39.5997795]],
